"","Data_SDY736_FCM-1","Data_SDY736_FCM-2","Data_SDY420_CyTOF-1"
"CCR7",1,1,1
"CD11A",1,0,0
"CD16",1,0,1
"CD28",1,1,1
"CD3",1,1,1
"CD4",1,1,1
"CD62L",1,0,0
"CD8",1,1,1
"CD95",1,1,0
"FSC-A",1,1,0
"SAMPLE_ID",1,1,1
"SSC-A",1,1,0
"TIME",1,1,1
"CD45RA",0,1,1
"CD57",0,1,0
"KI67",0,1,0
"LIVE",0,1,0
"CD127",0,0,1
"CD14",0,0,1
"CD161",0,0,1
"CD19",0,0,1
"CD20",0,0,1
"CD24",0,0,1
"CD25",0,0,1
"CD27",0,0,1
"CD33",0,0,1
"CD38",0,0,1
"CD56",0,0,1
"CD85J",0,0,1
"CD94",0,0,1
"CELL_LENGTH",0,0,1
"DEAD",0,0,1
"DNA1",0,0,1
"DNA2",0,0,1
"HLADR",0,0,1
"IGD",0,0,1
"TCRGD",0,0,1
